Stockholm,59.3294,18.0686,Sweden,Stockholm
Gothenburg,57.7075,11.9675,Sweden,Västra Götaland
Malmö,55.6058,13.0358,Sweden,Skåne
Uppsala,59.8581,17.6447,Sweden,Uppsala
Norrköping,58.6,16.2,Sweden,Östergötland
Uppsala,59.8601,17.64,Sweden,Stockholm
Västerås,59.6161,16.5528,Sweden,Västmanland
Örebro,59.2739,15.2075,Sweden,Örebro
Linköping,58.4158,15.6253,Sweden,Östergötland
Borås,57.7211,12.9403,Sweden,Västra Götaland
Helsingborg,56.05,12.7167,Sweden,Skåne
Jönköping,57.7828,14.1606,Sweden,Jönköping
Sundsvall,62.4,17.3167,Sweden,Västernorrland
Gävle,60.6747,17.1417,Sweden,Gävleborg
Umeå,63.825,20.2639,Sweden,Västerbotten
Södertälje,59.1958,17.6281,Sweden,Stockholm
Halmstad,56.6739,12.8572,Sweden,Halland
Eskilstuna,59.3708,16.5097,Sweden,Södermanland
Karlskrona,56.1608,15.5861,Sweden,Blekinge
Växjö,56.8769,14.8092,Sweden,Kronoberg
Karlstad,59.3783,13.5042,Sweden,Värmland
Täby,59.4333,18.0833,Sweden,Stockholm
Trollhättan,58.2828,12.2892,Sweden,Västra Götaland
Östersund,63.1792,14.6358,Sweden,Jämtland
Luleå,65.5844,22.1539,Sweden,Norrbotten
Upplands Väsby,59.5167,17.9167,Sweden,Stockholm
Trelleborg,55.3667,13.1667,Sweden,Skåne
Ängelholm,56.25,12.85,Sweden,Skåne
Kalmar,56.6614,16.3628,Sweden,Kalmar
Lidköping,58.5,13.1833,Sweden,Västra Götaland
Skövde,58.3833,13.85,Sweden,Västra Götaland
Nyköping,58.7531,17.0086,Sweden,Södermanland
Tumba,59.2,17.8167,Sweden,Stockholm
Falun,60.6072,15.6311,Sweden,Dalarna
Västervik,57.75,16.6333,Sweden,Kalmar
Varberg,57.1167,12.2167,Sweden,Halland
Uddevalla,58.3492,11.9381,Sweden,Västra Götaland
Landskrona,55.8706,12.8311,Sweden,Skåne
Staffanstorp,55.6333,13.2,Sweden,Skåne
Lidingö,59.3667,18.15,Sweden,Stockholm
Ystad,55.4167,13.8333,Sweden,Skåne
Visby,57.6347,18.2992,Sweden,Gotland
Boo,59.3167,18.25,Sweden,Stockholm
Kungsbacka,57.4833,12.0667,Sweden,Halland
Kungälv,57.8667,11.9667,Sweden,Västra Götaland
Huskvarna,57.8,14.2667,Sweden,Jönköping
Enköping,59.6356,17.0764,Sweden,Uppsala
Karlshamn,56.1667,14.85,Sweden,Blekinge
Härnösand,62.6361,17.9411,Sweden,Västernorrland
Hässleholm,56.1667,13.7667,Sweden,Skåne
Norrtälje,59.7667,18.7,Sweden,Stockholm
Oskarshamn,57.265,16.45,Sweden,Kalmar
Höganäs,56.2,12.5667,Sweden,Skåne
Tullinge,59.2,17.9,Sweden,Stockholm
Mölnlycke,57.6667,12.1167,Sweden,Västra Götaland
Arvika,59.6542,12.5914,Sweden,Värmland
Lomma,55.6667,13.0833,Sweden,Skåne
Nynäshamn,58.9,17.95,Sweden,Stockholm
Bålsta,59.5833,17.5,Sweden,Uppsala
Söderhamn,61.3,17.0833,Sweden,Gävleborg
Ekerö,59.2833,17.8,Sweden,Stockholm
Älmhult,56.55,14.1333,Sweden,Kronoberg
Höllviken,55.4167,12.95,Sweden,Skåne
Jordbro,59.15,18.1333,Sweden,Stockholm
Billdal,57.5833,11.9333,Sweden,Västra Götaland
Älta,59.25,18.1833,Sweden,Stockholm
Stenungsund,58.0833,11.8167,Sweden,Västra Götaland
Bjärred,55.7167,13.0167,Sweden,Skåne
Saltsjöbaden,59.2861,18.2872,Sweden,Stockholm
Åstorp,56.1347,12.9472,Sweden,Skåne
Brevik,59.35,18.2,Sweden,Stockholm
Sölvesborg,56.0442,14.5753,Sweden,Blekinge
Lysekil,58.2775,11.4425,Sweden,Västra Götaland
Torshälla,59.4167,16.4667,Sweden,Södermanland
Fisksätra,59.2917,18.2528,Sweden,Stockholm
Kållered,57.6,12.05,Sweden,Västra Götaland
Vendelsö,59.1805,18.1804,Sweden,Stockholm
Skanör med Falsterbo,55.4,12.85,Sweden,Skåne
Vega,59.1903,18.1275,Sweden,Stockholm
Vaxholm,59.4031,18.3264,Sweden,Stockholm
Surte,57.8167,12.0167,Sweden,Västra Götaland
Åkarp,55.65,13.1167,Sweden,Skåne
Hönö,57.7667,11.7,Sweden,Västra Götaland
Lindö,58.6167,16.25,Sweden,Östergötland
Sjöberg,59.4333,18,Sweden,Stockholm
Viken,56.15,12.5667,Sweden,Skåne
Oskarström,56.8016,12.9763,Sweden,Halland
Hjuvik,57.7,11.7167,Sweden,Västra Götaland
Kummelnäs,59.35,18.2833,Sweden,Stockholm
Karlsborg,58.5333,14.5167,Sweden,Västra Götaland
Öjersjö,57.7,12.1167,Sweden,Västra Götaland
Öckerö,57.7,11.65,Sweden,Västra Götaland
Hällbybrunn,59.3922,16.4203,Sweden,Södermanland
Särö,57.5,11.9333,Sweden,Halland
Borgholm,56.8792,16.6558,Sweden,Kalmar
Skogstorp,59.3333,16.4667,Sweden,Södermanland
Falkenberg,56.9053,12.4911,Sweden,Halland
Sundbyberg,59.3607,17.9717,Sweden,Stockholm
Solna,59.3667,18.0167,Sweden,Stockholm
Lund,55.7,13.1833,Sweden,Skåne
Jakobsberg,59.4167,17.8333,Sweden,Stockholm
Nacka,59.31,18.1639,Sweden,Stockholm
Djursholm,59.4,18.0833,Sweden,Stockholm
Huddinge,59.2333,17.9833,Sweden,Stockholm
Tyresö,59.2333,18.3,Sweden,Stockholm
Partille,57.7333,12.1167,Sweden,Västra Götaland
Rönninge,59.2,17.7333,Sweden,Stockholm